Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,HOTOSM Guyana Schools,"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'
Features may have these attributes: name, amenity, isced:level, capacity
Geometry types: point, polygon
This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",eng,OCHA ROLAC,?,?,,education|education facilities - schools|geodata,2019-11-27,"November 26, 2019-November 26, 2019",2019-2019,Guyana,?,?,?,https://data.humdata.org/dataset/hotosm-guyana-schools,?,?,?,?,?,https://data.humdata.org/dataset/hotosm-guyana-schools,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,JSON Repository,"This dataset contains resources transformed from other datasets on HDX.  They exist here only in a format modified to support visualization on HDX and may not be as up to date as the source datasets from which they are derived.
Source datasets:  https://data.hdx.rwlabs.org/dataset/idps-data-by-region-in-mali",eng,HDX,?,?,,geodata,2019-11-27,"March 28, 2016-March 28, 2016",2016-2016,World,?,?,?,https://data.humdata.org/dataset/json-repository,?,?,?,?,?,https://data.humdata.org/dataset/json-repository,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM French Guiana Schools,"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'
Features may have these attributes: name, amenity, isced:level, capacity
Geometry types: point, polygon
This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",eng,OCHA ROLAC,?,?,,education|education facilities - schools|geodata,2019-11-26,"November 26, 2019-November 26, 2019",2019-2019,French Guiana,?,?,?,https://data.humdata.org/dataset/hotosm-french-guiana-schools,?,?,?,?,?,https://data.humdata.org/dataset/hotosm-french-guiana-schools,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Belize Schools,"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'
Features may have these attributes: name, amenity, isced:level, capacity
Geometry types: point, polygon
This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",eng,OCHA ROLAC,?,?,,education|education facilities - schools|geodata,2019-11-26,"November 26, 2019-November 26, 2019",2019-2019,Belize,?,?,?,https://data.humdata.org/dataset/hotosm-belize-schools,?,?,?,?,?,https://data.humdata.org/dataset/hotosm-belize-schools,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Aruba Schools,"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'
Features may have these attributes: name, amenity, isced:level, capacity
Geometry types: point, polygon
This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",eng,OCHA ROLAC,?,?,,education|education facilities - schools|geodata,2019-11-26,"November 26, 2019-November 26, 2019",2019-2019,Aruba,?,?,?,https://data.humdata.org/dataset/hotosm-aruba-schools,?,?,?,?,?,https://data.humdata.org/dataset/hotosm-aruba-schools,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Anguilla Schools,"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'
Features may have these attributes: name, amenity, isced:level, capacity
Geometry types: point, polygon
This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",eng,OCHA ROLAC,?,?,,education|education facilities - schools|geodata,2019-11-25,"November 25, 2019-November 25, 2019",2019-2019,Anguilla,?,?,?,https://data.humdata.org/dataset/hotosm-anguilla-schools,?,?,?,?,?,https://data.humdata.org/dataset/hotosm-anguilla-schools,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Jamaica Schools,"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching: amenity IN ('kindergarten', 'school', 'college', 'university','language_school') OR office='educational_institution'
Features may have these attributes: name, amenity, isced:level, capacity
Geometry types: point, polygon
This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information.",eng,OCHA ROLAC,?,?,,education|education facilities - schools|geodata,2019-11-25,"November 25, 2019-November 25, 2019",2019-2019,Jamaica,?,?,?,https://data.humdata.org/dataset/hotosm-jamaica-schools,?,?,?,?,?,https://data.humdata.org/dataset/hotosm-jamaica-schools,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected flood waters over Mobayi-Mbongo, Nord-Ubangi Province, Democratic Republic of the Congo","UNOSAT code: FL20191118COD  This map illustrates satellite-detected flooded waters along the Ubangui River over Mobayi-Mbongo,Mobayi-Mbongo Territory, Nord-Ubangi Province in Democratic Republic of the Congo as observed from SPOT 7  imagery acquired on 16 November 2019. UNITAR-UNOSAT has identified about 60 buildings/houses likely surrounded by waters. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR -UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 21, 2019-November 21, 2019",2019-2019,Democratic Republic of the Congo,?,?,?,https://data.humdata.org/dataset/flood-waters-over-mobayi-mbongo-nord-ubangi-province-democratic-republic-of-the-congo,?,?,?,?,?,https://data.humdata.org/dataset/flood-waters-over-mobayi-mbongo-nord-ubangi-province-democratic-republic-of-the-congo,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected flood waters, as of 15 November 2019, Libenge, Libenge Territory, Democratic Republic of the Congo","UNOSAT code: FL20191118COD  This map illustrates satellite-detected flood waters along the Ubangi River over Libenge, Libenge Territory, Sud-Ubangi Province in Democratic Republic of the Congo as observed from Pleiades imagery acquired on 15 November 2019. 90 ha of potential flood waters have been identified in Libenge and its vicinity. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR -UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 20, 2019-November 20, 2019",2019-2019,Democratic Republic of the Congo,?,?,?,https://data.humdata.org/dataset/flood-waters-as-of-15-november-2019-libenge-libenge-territory-democratic-republic-of-the-c,?,?,?,?,?,https://data.humdata.org/dataset/flood-waters-as-of-15-november-2019-libenge-libenge-territory-democratic-republic-of-the-c,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters extents, as of 17 November 2019 over Ouaka Prefecture of Central African Republic","UNOSAT code: FL20191028CAF  This map illustrates satellite-detected surface water in Ouaka Prefecture of Central African Republic as observed from Sentinel-1 imagery acquired on 17 November 2019. Within the analysed extent of about 1,950 km2, a total about 4 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important note: Flood analysis from SAR Sentinel-1 images may significantly underestimate the presence of standing waters in built up and/or densely vegetated areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 20, 2019-November 20, 2019",2019-2019,Central African Republic,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-17-november-2019-over-ouaka-prefecture-of-central-african-republic,?,?,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-17-november-2019-over-ouaka-prefecture-of-central-african-republic,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters extents, as of 17 November 2019 over Ouaka and Basse-Kotto, Central African Republic","UNOSAT code: FL20191028CAF  This map illustrates satellite-detected surface water in Ouaka and Basse-Kotto Prefecture of Central African Republic as observed from Sentinel-1 imagery acquired on 17 November 2019. Within the analysed extent of about 940 km2, a total about  3 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important note: Flood analysis from SAR Sentinel-1 images may significantly underestimate the presence of standing waters in built up and/or densely vegetated areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 20, 2019-November 20, 2019",2019-2019,Central African Republic,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-17-november-2019-over-ouaka-and-basse-kotto-central-african-republic,?,?,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-17-november-2019-over-ouaka-and-basse-kotto-central-african-republic,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters extents, as of 17 November 2019 over Basse-Kotto Prefecture of Central African Republic","UNOSAT code: FL20191028CAF  This map illustrates satellite-detected surface water in Basse-Kotto Prefecture of Central African Republic as observed from Sentinel-1 imagery acquired on 17 November 2019. Within the analysed extent of about 425 km2, a total about 2 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important note: Flood analysis from SAR Sentinel-1 images may significantly underestimate the presence of standing waters in built up and/or densely vegetated areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 20, 2019-November 20, 2019",2019-2019,Central African Republic,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-17-november-2019-over-basse-kotto-prefecture-of-central-african-repub,?,?,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-17-november-2019-over-basse-kotto-prefecture-of-central-african-repub,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected flood waters, as of 12 November 2019, over Zongo, Democratic Republic of the Congo","UNOSAT code: FL20191118COD  This map illustrates satellite-detected floodedwaters along the Ubangui River over Zongo, Libenge Territory, Sud-Ubangi Territory in Democratic Republic of the Congo as observed from GeoEye-1 imagery acquired on 12 November 2019. UNITAR-UNOSAT has identified 58 ha of potentially flood waters north-west of Zongo. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 19, 2019-November 19, 2019",2019-2019,Democratic Republic of the Congo,?,?,?,https://data.humdata.org/dataset/flood-waters-as-of-12-november-2019-over-zongo-democratic-republic-of-the-congo,?,?,?,?,?,https://data.humdata.org/dataset/flood-waters-as-of-12-november-2019-over-zongo-democratic-republic-of-the-congo,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected flooded structures, as of 15 November 2019, over Libenge, Democratic Republic of the Congo","UNOSAT code: FL20191118COD  This map illustrates satellite-detected flooded structures along the Ubangui River over Libenge, Libenge Territory, Sud-Ubangui Territory in Democratic Republic of the Congo as observed from Pleiades imagery acquired on 15 November 2019. UNITAR-UNOSAT identified 22 potentially flooded structures west of Libenge, within the extent of this map. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 19, 2019-November 19, 2019",2019-2019,Democratic Republic of the Congo,?,?,?,https://data.humdata.org/dataset/flooded-structures-as-of-15-november-2019-over-libenge-democratic-republic-of-the-congo,?,?,?,?,?,https://data.humdata.org/dataset/flooded-structures-as-of-15-november-2019-over-libenge-democratic-republic-of-the-congo,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected flooded structures, as of 12 November 2019, over Zongo, Democratic Republic of the Congo","UNOSAT code: FL20191118COD  This map illustrates satellite-detected flooded structures along the Ubangui River over Zongo, Libenge Territory, Sud-Ubangui Territory in Democratic Republic of the Congo as observed from GeoEye-1 imagery acquired on 12 November 2019. UNITAR-UNOSAT has identified within the extent of this map 276 potentially flooded structures north-west of Zongo. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-22,"November 18, 2019-November 18, 2019",2019-2019,Democratic Republic of the Congo,?,?,?,https://data.humdata.org/dataset/flooded-structures-as-of-12-november-2019-over-zongo-democratic-republic-of-the-congo,?,?,?,?,?,https://data.humdata.org/dataset/flooded-structures-as-of-12-november-2019-over-zongo-democratic-republic-of-the-congo,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Fire hotspots density in Lebanon and Syria as detected by VIIRS between October 15-16, 2019","UNOSAT code: FR20191016LBN  This map illustrates satellite-detected fire hotspots based on the analysis of Visible Infrared Imaging Radiometer Suite (VIIRS) accessed via NASA FIRMS, between October 15-16, 2019. 30 hotspots were detected in Lebanon and 121 hotspots were detected in three analysed Governorates (i.e. Homs, Lattakia and Tartous) in Syria. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,geodata|urban fires,2019-11-16,"October 17, 2019-October 17, 2019",2019-2019,Lebanon,?,?,?,https://data.humdata.org/dataset/fire-hotspots-density-in-lebanon-and-syria-as-detected-by-viirs-between-october-15-16-2019,?,?,?,?,?,https://data.humdata.org/dataset/fire-hotspots-density-in-lebanon-and-syria-as-detected-by-viirs-between-october-15-16-2019,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 6 November 2019 over Hiraan, Middle Shabelle and Lower Shabelle Region of Somali","UNOSAT code: FL20191030SOM  This map illustrates the extent of surface waters detected over Hiraan, Middle Shabelle and Lower Shabelle Region in Somalia as detect by VIIRS-NOAA satellite between 2 & 6 November 2019. In the analysed area, a total of about 830 km2 are likely flooded and about 74,000 people might be exposed by taking into account WorldPop population estimates. About 10 km of the roads seem to be affected. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-14,"November 13, 2019-November 13, 2019",2019-2019,Somalia,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-6-november-2019-over-hiraan-middle-shabelle-and-lower-shabelle-region-,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-6-november-2019-over-hiraan-middle-shabelle-and-lower-shabelle-region-,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected cumulative water extents, as of 06  November 2019 over Luakpiny/Nasir, Pibor","UNOSAT code: FL20191023SSD  This map illustrates the 5-day cumulative, day-time surface water extent detected over Luakpiny/Nasir, Pibor and neighbouring counties in South Sudan. The extent was derived from VIIRS-NOAA satellite imagery between 2 and 6 November 2019 and includes all pixels with 0-100% open water.
In the two counties of interest, about 9% of the population in Luakpiny/Nasir and 7% in Pibor may be affected by taking into account WorldPop population estimates. This is a preliminary analysis that has not yet been validated in the field. Please send any fieldbased comments to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-14,"November 13, 2019-November 13, 2019",2019-2019,South Sudan,?,?,?,https://data.humdata.org/dataset/cumulative-water-extents-as-of-06-november-2019-over-luakpiny-nasir-pibor,?,?,?,?,?,https://data.humdata.org/dataset/cumulative-water-extents-as-of-06-november-2019-over-luakpiny-nasir-pibor,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected water and IDP distribution over  Belet Weyne Town,"UNOSAT code: FL20191030SOM  This map illustrates the satellite-detected flood water extent and IDP distribution within the town of Belet Weyne in Belet Weyne District, Hiiran Region, Somalia. The analysis was conducted by analyzing WorldView-1 images acquired on the 1 November 2019. As observed from the satellite image, the town of Belet Weyne is heavily affected by floods. Around 60% of the vicinity of the town is completely inundated; the districts of Hawa tako, Kutimbo, and the Lamagalay Regional Millitary Base completely submerged in water. More than 110 IDP sites are located inside of the town and 40% of them are located within completely flooded areas. This is a preliminary analysis and has not been validated in the field yet. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-14,"November 05, 2019-November 05, 2019",2019-2019,Somalia,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-and-idp-distribution-over-belet-weyne-town,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-and-idp-distribution-over-belet-weyne-town,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters extents, as of 3 November 2019 over Jowhar District, Middle Shabelle Region of Somalia","UNOSAT code: FL20191030SOM  This map illustrates the extent of surface waters detected over Jowhar District, Middle Shabelle Region located in Somalia, as detect by VIIRS-NOAA satellite between 30 October & 3 November 2019. In the analysed area, a total of about 700 km2 are likely flooded and about 70,000 people may be affected, based on WorldPop population estimates. The 10 km of roads seem to be affected. This is a preliminary analysis and has not been validated in the field yet. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-13,"November 05, 2019-November 05, 2019",2019-2019,Somalia,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-3-november-2019-over-jowhar-district-middle-shabelle-region-of-somali,?,?,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-3-november-2019-over-jowhar-district-middle-shabelle-region-of-somali,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 28 October 2019 over Garsen Sub County, Tana River County of Kenya","UNOSAT code: FL20191031KEN  This map illustrates satellite-detected surface water in Garsen Sub County, Tana River County of Kenya as observed from Sentinel-2 imagery acquired on 28 October 2019. Within the analysed extent of about 150 km2, a total about 12 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-13,"November 04, 2019-November 04, 2019",2019-2019,Kenya,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-28-october-2019-over-garsen-sub-county-tana-river-county-of-kenya,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-28-october-2019-over-garsen-sub-county-tana-river-county-of-kenya,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 2 November 2019 over Wajir East Sub County, Wajir County of Kenya","UNOSAT code: FL20191031KEN  This map illustrates satellite-detected surface water in Wajir East Sub County, Wajir County of Kenya as observed from Sentinel-2 imagery acquired on 2 November 2019. Within the analysed extent of about 200 km2, a total of about 7 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-13,"November 04, 2019-November 04, 2019",2019-2019,Kenya,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-2-november-2019-over-wajir-east-sub-county-wajir-county-of-kenya,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-2-november-2019-over-wajir-east-sub-county-wajir-county-of-kenya,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 28 October 2019 over Wajir East Sub County, Wajir County of Kenya","UNOSAT code: FL20191031KEN  This map illustrates satellite-detected surface water in Wajir East Sub County, Wajir County of Kenya as observed from Sentinel-2 imagery acquired on 28 October 2019. Within the analysed extent of about 450 km2, a total of about 25 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-11-13,"November 02, 2019-November 02, 2019",2019-2019,Kenya,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-28-october-2019-over-wajir-east-sub-county-wajir-county-of-kenya,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-28-october-2019-over-wajir-east-sub-county-wajir-county-of-kenya,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,IRC Ethiopia OFDA Funded Emergency Responses 28 February 2019 Update,"IRC’s GIS unit created this database to allow for a more sustained approach to producing relevant mapping products and geospatial analysis for regions undergoing emergencies, and will fill gaps in information sharing and management between OFDA, IRC, and other implementing partners during emergency response. IRC’s GIS services provide OFDA/Ethiopia with the information and analysis required to monitor the evolution of project / program results and to track project and program impacts across implementing agencies and geographic locations. This dataset contains boundaries of Ethiopian administrative Woredas which are roughly consistent with the actual administrative boundaries for the year 2017.The Woreda boundary contains attribute data (implementing Partners, Situation and Sector Fields) for IRC Ethiopia OFDA Funded Emergency Responses as of 28 Feb 2019.",eng,International Rescue Committee Ethiopia,?,?,,activities - projects|geodata,2019-11-10,"February 28, 2019-February 28, 2019",2019-2019,Ethiopia,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-ofda-funded-emergency-responses-28-february-2019-update,?,?,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-ofda-funded-emergency-responses-28-february-2019-update,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Tsore Refugee Camp Water Supply Coverage as of January 2018.,"Tsore Refugee Camp, International Rescue Committee Ethiopia Program, Tsore Refugee Camp Water Supply Coverage January 2018.",eng,International Rescue Committee Ethiopia,?,?,,displaced persons locations - camps - shelters|geodata|water sanitation and hygiene - wash,2019-11-10,"January 01, 2018-January 01, 2018",2018-2018,Ethiopia,?,?,?,https://data.humdata.org/dataset/tsore-refugee-camp-water-supply-coverage-as-of-january-2018,?,?,?,?,?,https://data.humdata.org/dataset/tsore-refugee-camp-water-supply-coverage-as-of-january-2018,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,IRC Ethiopia All Ongoing Emergency Responses 31 January 2019 Update,"IRC’s GIS unit created this database to allow for a more sustained approach to producing relevant mapping products and geospatial analysis for regions undergoing emergencies, and will fill gaps in information sharing and management between OFDA, IRC, and other implementing partners during emergency response. IRC’s GIS services provide OFDA/Ethiopia with the information and analysis required to monitor the evolution of project / program results and to track project and program impacts across implementing agencies and geographic locations. This dataset contains boundaries of Ethiopian administrative Woredas which are roughly consistent with the actual administrative boundaries for the year 2017.The Woreda boundary contains attribute data (implementing Partners, Situation and Sector Fields) for IRC Ethiopia OFDA Funded Emergency Responses as of 31 January 2019.",eng,International Rescue Committee Ethiopia,?,?,,activities - projects|aid funding|geodata,2019-11-10,"January 31, 2019-January 31, 2019",2019-2019,Ethiopia,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-all-ongoing-emergency-responses-31-january-2019-update,?,?,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-all-ongoing-emergency-responses-31-january-2019-update,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,IRC Ethiopia All Emergency Responses 31 January 2018 Update,"IRC’s GIS unit created this database to allow for a more sustained approach to producing relevant mapping products and geospatial analysis for regions undergoing emergencies, and will fill gaps in information sharing and management between OFDA, IRC, and other implementing partners during emergency response. IRC’s GIS services provide OFDA/Ethiopia with the information and analysis required to monitor the evolution of project / program results and to track project and program impacts across implementing agencies and geographic locations. This dataset contains boundaries of Ethiopian administrative Woredas which are roughly consistent with the actual administrative boundaries for the year 2017.The Woreda boundary contains attribute data (implementing Partners, Situation and Sector Fields) for IRC Ethiopia OFDA Funded Emergency Responses as of 31 Jan 2018.",eng,International Rescue Committee Ethiopia,?,?,,activities - projects|aid funding|geodata,2019-11-10,"January 31, 2018-January 31, 2018",2018-2018,Ethiopia,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-all-emergency-responses-31-january-2018-update,?,?,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-all-emergency-responses-31-january-2018-update,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,IRC Ethiopia OFDA Funded Emergency Responses 31 December 2017 Update,"IRC’s GIS unit created this database to allow for a more sustained approach to producing relevant mapping products and geospatial analysis for regions undergoing emergencies, and will fill gaps in information sharing and management between OFDA, IRC, and other implementing partners during emergency response. IRC’s GIS services provide OFDA/Ethiopia with the information and analysis required to monitor the evolution of project / program results and to track project and program impacts across implementing agencies and geographic locations. This dataset contains boundaries of Ethiopian administrative Woredas which are roughly consistent with the actual administrative boundaries for the year 2017.The Woreda boundary contains attribute data (implementing Partners, Situation and Sector Fields) for IRC Ethiopia OFDA Funded Emergency Responses as of 31 Dec 2017.",eng,International Rescue Committee Ethiopia,?,?,,activities - projects|geodata,2019-11-10,"December 31, 2017-December 31, 2017",2017-2017,Ethiopia,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-ofda-funded-emergency-responses-31-december-2017-update,?,?,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-ofda-funded-emergency-responses-31-december-2017-update,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,IRC Ethiopia All Emergency Responses 28 February 2018 Update,"IIRC’s GIS unit created this database to allow for a more sustained approach to producing relevant mapping products and geospatial analysis for regions undergoing emergencies, and will fill gaps in information sharing and management between OFDA, IRC, and other implementing partners during emergency response. IRC’s GIS services provide OFDA/Ethiopia with the information and analysis required to monitor the evolution of project / program results and to track project and program impacts across implementing agencies and geographic locations. This dataset contains boundaries of Ethiopian administrative Woredas which are roughly consistent with the actual administrative boundaries for the year 2017.The Woreda boundary contains attribute data (implementing Partners, Situation and Sector Fields) for IRC Ethiopia OFDA Funded Emergency Responses as of 28 Feb 2018.",eng,International Rescue Committee Ethiopia,?,?,,activities - projects|aid funding|geodata,2019-11-10,"February 28, 2018-February 28, 2018",2018-2018,Ethiopia,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-all-emergency-responses-28-february-2018-update,?,?,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-all-emergency-responses-28-february-2018-update,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,IRC Ethiopia ECHO Funded Emergency Responses 30 September 2018 Update,"IRC’s GIS unit created this database to allow for a more sustained approach to producing relevant mapping products and geospatial analysis for regions undergoing emergencies, and will fill gaps in information sharing and management between OFDA, IRC, and other implementing partners during emergency response. IRC’s GIS services provide OFDA/Ethiopia with the information and analysis required to monitor the evolution of project / program results and to track project and program impacts across implementing agencies and geographic locations. This dataset contains boundaries of Ethiopian administrative Woredas which are roughly consistent with the actual administrative boundaries for the year 2017.The Woreda boundary contains attribute data (implementing Partners, Situation and Sector Fields) for IRC Ethiopia ECHO Funded Emergency Responses as of 30 Sep 2018.",eng,International Rescue Committee Ethiopia,?,?,,activities - projects|geodata,2019-11-10,"September 30, 2018-September 30, 2018",2018-2018,Ethiopia,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-echo-funded-emergency-responses-30-september-2018-update,?,?,?,?,?,https://data.humdata.org/dataset/irc-ethiopia-echo-funded-emergency-responses-30-september-2018-update,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
